# time_mcc alt lat lon
1.684028580279710770e+09 3.271170312252633448e+04 -4.304033282050870923e+01 -5.173834235215056765e+01
1.684028780874368906e+09 3.275779686676286656e+04 -4.306616592990843628e+01 -5.156350708370177927e+01
1.684028981463863373e+09 3.275779686676286656e+04 -4.306616592990843628e+01 -5.156350708370177927e+01
1.684029182118488073e+09 3.271390624733499862e+04 -4.309149935215047833e+01 -5.138650517710169652e+01
1.684029382744410276e+09 3.279429687205568916e+04 -4.311583331625811866e+01 -5.120866399053684859e+01
1.684029583351301193e+09 3.276140624977681000e+04 -4.313899997462029745e+01 -5.103149419441621149e+01
1.684029784122853041e+09 3.276140624977681000e+04 -4.313899997462029745e+01 -5.103149419441621149e+01
1.684029984974453926e+09 3.268549999959894922e+04 -4.316216663298247624e+01 -5.085166934664633231e+01
1.684030185821748018e+09 3.271659374859104719e+04 -4.318050003451772767e+01 -5.067083741321016532e+01
1.684030386643557310e+09 3.271659374859104719e+04 -4.318050003451772767e+01 -5.067083741321016532e+01
1.684030587609569311e+09 3.273979687056033436e+04 -4.319766617221703342e+01 -5.048516853490966128e+01
1.684030788479978800e+09 3.273770312446581374e+04 -4.321599961566180070e+01 -5.030000307371375357e+01
1.684030989428375483e+09 3.266849999098770786e+04 -4.322833253844369494e+01 -5.011650091738357560e+01
1.684031190461346865e+09 3.266849999098770786e+04 -4.322833253844369494e+01 -5.011650091738357560e+01
1.684031391364455938e+09 3.266849999098770786e+04 -4.322833253844369494e+01 -5.011650091738357560e+01
1.684031592126624823e+09 3.271909374620744347e+04 -4.324416733655244371e+01 -4.992849734377313098e+01
1.684031792837227106e+09 3.272240624686759111e+04 -4.326466754387707425e+01 -4.973767091281192165e+01
1.684031993464718103e+09 3.280290624075636879e+04 -4.328666689649379862e+01 -4.954867559241799313e+01
1.684032194077081442e+09 3.280290624075636879e+04 -4.328666689649379862e+01 -4.954867559241799313e+01
1.684032394801244974e+09 3.273399999917810783e+04 -4.330933382578876945e+01 -4.935816960161508860e+01
1.684032595536881208e+09 3.273399999917810783e+04 -4.330933382578876945e+01 -4.935816960161508860e+01
1.684032796329938889e+09 3.273399999917810783e+04 -4.330933382578876945e+01 -4.935816960161508860e+01
1.684032997255572081e+09 3.264349999573163223e+04 -4.334533313600005044e+01 -4.896234134886469747e+01
1.684033198046952963e+09 3.268740624205381755e+04 -4.336149981556495447e+01 -4.877099616191605946e+01
1.684033398853161812e+09 3.268740624205381755e+04 -4.336149981556495447e+01 -4.877099616191605946e+01
1.684033599610671043e+09 3.273340624401657988e+04 -4.337533188363894254e+01 -4.857800300898449564e+01
1.684033800263781786e+09 3.273340624401657988e+04 -4.337533188363894254e+01 -4.857800300898449564e+01
1.684034001084675789e+09 3.272579687245324749e+04 -4.339099887604615446e+01 -4.837933354740482628e+01
1.684034201760452509e+09 3.272579687245324749e+04 -4.339099887604615446e+01 -4.837933354740482628e+01
1.684034402356086969e+09 3.280649999687599484e+04 -4.340666582654385763e+01 -4.818615724988890747e+01
1.684034603028993130e+09 3.281140624983501766e+04 -4.344449997726932367e+01 -4.780932624540508868e+01
1.684034803775270462e+09 3.281140624983501766e+04 -4.344449997726932367e+01 -4.780932624540508868e+01
1.684035004424382925e+09 3.281140624983501766e+04 -4.344449997726932367e+01 -4.780932624540508868e+01
1.684035205166047335e+09 3.280259374105431925e+04 -4.345616532337297144e+01 -4.761233525993588955e+01
1.684035406136863232e+09 3.268099999816180207e+04 -4.346916582283311925e+01 -4.741915896241999917e+01
1.684035606987519979e+09 3.268099999816180207e+04 -4.346916582283311925e+01 -4.741915896241999917e+01
1.684035807695917368e+09 3.268099999816180207e+04 -4.346916582283311925e+01 -4.741915896241999917e+01
1.684036008479346037e+09 3.274409374146351911e+04 -4.350666809210243713e+01 -4.705715948414456307e+01
1.684036209131166220e+09 3.265870312151002872e+04 -4.352883152047377990e+01 -4.687733463637468390e+01
